source,file,color,label,cpl_mean,cpl_median,cpl_variance,cpl_max,cpl_p90,zero_cpl_rate,top1_rate,top3_rate,top5_rate,max_consecutive_top1,cpl_opening,cpl_middlegame,cpl_endgame,varianza_eval,curtosis_eval,asimetria_eval,inversiones_ventaja,entropia_eval
legal,partida_1.pgn,white,0,106.46153846153847,0.0,39913.78698224853,610.0,440.00000000000034,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,4.0,8.25,185.25,122.0,7316800.52071006,7.933969418709399,3.1361456912704737,2.0,0.27118937304184415
legal,partida_1.pgn,black,0,944.9166666666666,53.0,7910140.743055556,10262.0,462.4000000000001,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.6666666666666666,1.0,49.25,137.25,2648.25,7676486.520833333,7.01893228184888,-2.9949465401348494,2.0,0.2868359830561607
legal,partida_10.pgn,white,0,54.31111111111111,30.0,9403.280987654318,484.0,97.80000000000003,0.2222222222222222,0.2,0.5777777777777777,0.7777777777777778,2.0,26.266666666666666,94.6,42.06666666666667,92735.84691358026,-1.092596598643287,-0.21841040101832146,3.0,2.532364447895943
legal,partida_10.pgn,black,0,35.577777777777776,14.0,3051.0883950617294,226.0,117.0,0.37777777777777777,0.37777777777777777,0.6444444444444445,0.7333333333333333,4.0,28.4,63.0,15.333333333333334,107748.94320987654,-1.1143445023747152,0.15570386777212278,7.0,2.6191691488769204
legal,partida_100.pgn,white,0,46.285714285714285,0.0,6029.489795918368,246.0,165.70000000000005,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.75,5.0,12.555555555555555,28.0,93.1,14269.454081632652,4.491822717435783,1.98143372846676,0.0,2.1560878461292545
legal,partida_100.pgn,black,0,57.96296296296296,16.0,10320.109739369,469.0,154.8000000000001,0.25925925925925924,0.2222222222222222,0.6296296296296297,0.7407407407407407,2.0,32.55555555555556,25.555555555555557,115.77777777777777,19521.294924554186,1.6329440299609885,-1.3967627275114662,0.0,2.3842257390944313
legal,partida_101.pgn,white,0,50.0,21.0,4322.666666666667,254.0,148.0,0.3611111111111111,0.3055555555555556,0.4722222222222222,0.5555555555555556,2.0,24.75,87.75,37.5,13499.860339506173,-0.6879871775162005,0.05983882819608078,0.0,2.692735039124687
legal,partida_101.pgn,black,0,65.45714285714286,45.0,4137.619591836735,220.0,139.8,0.22857142857142856,0.22857142857142856,0.4,0.5142857142857142,1.0,42.72727272727273,106.9090909090909,49.61538461538461,14194.729795918363,-0.7628765472280947,0.3122472254147124,0.0,2.941030529182652
legal,partida_102.pgn,white,0,330.24242424242425,11.0,2147157.5169880628,8579.0,302.20000000000016,0.21212121212121213,0.21212121212121213,0.45454545454545453,0.6060606060606061,2.0,134.45454545454547,75.0909090909091,781.1818181818181,17703219.583103765,-0.9755438201795026,0.9856621922908472,5.0,1.6877476827203945
legal,partida_102.pgn,black,0,115.34375,22.0,47227.6005859375,1109.0,248.10000000000008,0.21875,0.1875,0.375,0.4375,1.0,224.8,120.4,19.916666666666668,18723946.264648438,-1.3485105828004373,-0.789654834430487,0.0,1.566086194679753
legal,partida_103.pgn,white,0,45.2,10.0,5970.0,323.0,129.8000000000001,0.4,0.4,0.72,0.8,2.0,13.0,45.0,74.0,92974.48959999999,0.4711849695113832,1.3702086445398336,4.0,1.926040148262323
legal,partida_103.pgn,black,0,78.83333333333333,23.5,23372.80555555555,682.0,122.19999999999999,0.375,0.375,0.5416666666666666,0.6666666666666666,3.0,29.25,34.125,173.125,90386.55555555556,-0.01128796359820372,-1.1266425503158666,4.0,2.1985170952896045
legal,partida_104.pgn,white,0,345.21666666666664,15.0,2490574.4030555547,8971.0,173.90000000000003,0.31666666666666665,0.3,0.5833333333333334,0.7833333333333333,4.0,59.3,42.75,933.6,7048787.732222221,6.792226558771203,-2.932869612430411,3.0,1.4557420299527573
legal,partida_104.pgn,black,0,31.6,2.5,3217.506666666666,271.0,84.30000000000004,0.45,0.4,0.6333333333333333,0.7,7.0,51.25,12.4,31.15,5788165.1875,9.60350342921682,3.364393833772812,7.0,1.422783185368746
legal,partida_105.pgn,white,0,273.1463414634146,8.0,1996300.5151695416,9194.0,186.0,0.43902439024390244,0.34146341463414637,0.6585365853658537,0.7560975609756098,3.0,16.23076923076923,802.9230769230769,36.666666666666664,9905480.655562166,3.1724501789134703,2.2467603047369638,2.0,1.348692752091537
legal,partida_105.pgn,black,0,518.05,44.5,3771402.897500001,9147.0,217.0,0.25,0.225,0.55,0.7,1.0,45.38461538461539,824.3846153846154,672.5,9978864.110000001,2.975060372039966,-2.2014428010995077,2.0,1.4891412599016371
legal,partida_106.pgn,white,0,1399.8823529411766,74.0,10065582.86851211,9219.0,8930.3,0.20588235294117646,0.20588235294117646,0.2647058823529412,0.4117647058823529,2.0,132.0,58.09090909090909,3792.0833333333335,16924191.616782006,-0.8713119847983322,-1.0500382748781754,1.0,1.4539607190160742
